libboost1.74-tools-dev	amd64	1.74.0-14ubuntu3
libbrotli-dev	amd64	1.0.9-2build6
libbrotli1	amd64	1.0.9-2build6
libbs2b0	amd64	3.1.0+dfsg-2.2build1
libbsd-dev	amd64	0.11.5-1
libbsd0	amd64	0.11.5-1
libbullet-dev	amd64	3.06+dfsg-4build2
libbullet3.06	amd64	3.06+dfsg-4build2
libbz2-1.0	amd64	1.0.8-5build1
libc-bin	amd64	2.35-0ubuntu3.14
libc-dev-bin	amd64	2.35-0ubuntu3.14
libc6	amd64	2.35-0ubuntu3.14
libc6-dev	amd64	2.35-0ubuntu3.14
libcaca0	amd64	0.99.beta19-2.2ubuntu4.2
libcairo-gobject2	amd64	1.16.0-5ubuntu2.1
libcairo2	amd64	1.16.0-5ubuntu2.1
libcap-ng0	amd64	0.7.9-2.2build3
libcap2	amd64	1:2.44-1ubuntu0.22.04.3
libcap2-bin	amd64	1:2.44-1ubuntu0.22.04.3
libcbor0.8	amd64	0.8.0-2ubuntu1
libcc1-0	amd64	12.3.0-1ubuntu1~22.04.3
libccd-dev	amd64	2.1-2
libccd2	amd64	2.1-2
libcdio-cdda2	amd64	10.2+2.0.0-1build3
libcdio-paranoia2	amd64	10.2+2.0.0-1build3
libcdio19	amd64	2.1.0-3ubuntu0.2
libcdt5	amd64	2.42.2-6ubuntu0.1
libcfitsio-dev	amd64	4.0.0-1
libcfitsio9	amd64	4.0.0-1
libcgraph6	amd64	2.42.2-6ubuntu0.1
libcharls-dev	amd64	2.3.4-1
libcharls2	amd64	2.3.4-1
libchromaprint1	amd64	1.5.1-2
libclang1-14	amd64	1:14.0.0-1ubuntu1.1
libcodec2-1.0	amd64	1.0.1-3
libcolord2	amd64	1.4.6-1
libcom-err2	amd64	1.46.5-2ubuntu1.2
libconsole-bridge-dev	amd64	1.0.1+dfsg2-3
libconsole-bridge1.0	amd64	1.0.1+dfsg2-3
libcrypt-dev	amd64	1:4.4.27-1
libcrypt1	amd64	1:4.4.27-1
libcryptsetup12	amd64	2:2.4.3-1ubuntu1.3
libctf-nobfd0	amd64	2.38-4ubuntu2.12
libctf0	amd64	2.38-4ubuntu2.12
libcups2	amd64	2.4.1op1-1ubuntu4.21
libcurl3-gnutls	amd64	7.81.0-1ubuntu1.25
libcurl4	amd64	7.81.0-1ubuntu1.25
libcurl4-openssl-dev	amd64	7.81.0-1ubuntu1.25
libdart-collision-bullet6.12	amd64	6.12.1+dfsg4-11build2
libdart-dev	amd64	6.12.1+dfsg4-11build2
libdart-external-convhull-3d-dev	amd64	6.12.1+dfsg4-11build2
libdart-external-odelcpsolver-dev	amd64	6.12.1+dfsg4-11build2
libdart-external-odelcpsolver6.12	amd64	6.12.1+dfsg4-11build2
libdart-utils6.12	amd64	6.12.1+dfsg4-11build2
libdart6.12	amd64	6.12.1+dfsg4-11build2
libdatrie1	amd64	0.2.13-2
libdav1d-dev	amd64	0.9.2-1
libdav1d5	amd64	0.9.2-1
libdb5.3	amd64	5.3.28+dfsg1-0.8ubuntu3
libdbus-1-3	amd64	1.12.20-2ubuntu4.1
